Precision	Recall
1.0	0.0
1.0	0.0004264392324093817
1.0	0.0008528784648187634
1.0	0.001279317697228145
1.0	0.0017057569296375268
1.0	0.0021321961620469083
1.0	0.00255863539445629
1.0	0.002985074626865672
1.0	0.0034115138592750536
1.0	0.0038379530916844355
1.0	0.0042643923240938165
1.0	0.004690831556503199
1.0	0.00511727078891258
1.0	0.005543710021321962
1.0	0.005970149253731344
1.0	0.006396588486140725
1.0	0.006823027718550107
1.0	0.007249466950959489
1.0	0.007675906183368871
1.0	0.008102345415778252
1.0	0.008528784648187633
1.0	0.008955223880597015
1.0	0.009381663113006398
1.0	0.009808102345415778
1.0	0.01023454157782516
1.0	0.010660980810234543
1.0	0.011087420042643924
1.0	0.011513859275053304
1.0	0.011940298507462688
1.0	0.012366737739872069
1.0	0.01279317697228145
1.0	0.013219616204690834
1.0	0.013646055437100214
1.0	0.014072494669509595
1.0	0.014498933901918977
1.0	0.014925373134328358
1.0	0.015351812366737742
1.0	0.01577825159914712
1.0	0.016204690831556505
0.975	0.016631130063965886
1.0	0.016631130063965886
0.975609756097561	0.017057569296375266
0.9761904761904762	0.017484008528784647
0.9767441860465116	0.01791044776119403
0.9772727272727273	0.01833688699360341
0.9361702127659575	0.018763326226012796
0.9565217391304348	0.018763326226012796
0.9375	0.019189765458422176
0.9387755102040817	0.019616204690831557
0.9411764705882353	0.02046908315565032
0.9423076923076923	0.020895522388059702
0.9433962264150944	0.021321961620469086
0.9444444444444444	0.021748400852878467
0.9454545454545454	0.022174840085287847
0.9464285714285714	0.022601279317697228
0.9473684210526315	0.02302771855010661
0.9482758620689655	0.023454157782515993
0.9491525423728814	0.023880597014925377
0.95	0.024307036247334754
0.9508196721311475	0.024733475479744138
0.9516129032258065	0.025159914712153522
0.9523809523809523	0.0255863539445629
0.953125	0.026012793176972283
0.9538461538461539	0.026439232409381667
0.9545454545454546	0.026865671641791045
0.9552238805970149	0.02729211087420043
0.9558823529411765	0.02771855010660981
0.9565217391304348	0.02814498933901919
0.9305555555555556	0.028571428571428574
0.9436619718309859	0.028571428571428574
0.918918918918919	0.028997867803837955
0.9315068493150684	0.028997867803837955
0.92	0.029424307036247335
0.9210526315789473	0.029850746268656716
0.922077922077922	0.0302771855010661
0.9230769230769231	0.030703624733475484
0.9240506329113924	0.03113006396588486
0.9259259259259259	0.031982942430703626
0.9047619047619048	0.03240938166311301
0.9156626506024096	0.03240938166311301
0.9058823529411765	0.03283582089552239
0.9069767441860465	0.03326226012793177
0.9080459770114943	0.03368869936034115
0.9090909090909091	0.03411513859275053
0.9101123595505618	0.034541577825159916
0.9111111111111111	0.034968017057569294
0.9120879120879121	0.03539445628997868
0.9130434782608695	0.03582089552238806
0.9139784946236559	0.03624733475479744
0.9148936170212766	0.03667377398720682
0.9157894736842105	0.03710021321961621
0.9166666666666666	0.03752665245202559
0.9175257731958762	0.03795309168443497
0.9183673469387755	0.03837953091684435
0.9191919191919192	0.038805970149253737
0.92	0.039232409381663114
0.9207920792079208	0.0396588486140725
0.9215686274509803	0.04008528784648188
0.9223300970873787	0.04051172707889126
0.9230769230769231	0.04093816631130064
0.9238095238095239	0.04136460554371003
0.9245283018867925	0.041791044776119404
0.9252336448598131	0.04221748400852879
0.9259259259259259	0.04264392324093817
0.926605504587156	0.04307036247334755
0.9272727272727272	0.043496801705756934
0.9279279279279279	0.04392324093816631
0.9285714285714286	0.044349680170575695
0.9292035398230089	0.04477611940298508
0.9298245614035088	0.045202558635394456
0.9304347826086956	0.04562899786780384
0.9310344827586207	0.04605543710021322
0.9316239316239316	0.0464818763326226
0.9322033898305084	0.046908315565031986
0.925	0.04733475479744136
0.9327731092436975	0.04733475479744136
0.9256198347107438	0.047761194029850754
0.9262295081967213	0.04818763326226013
0.926829268292683	0.04861407249466951
0.9274193548387096	0.0490405117270789
0.928	0.049466950959488276
0.9285714285714286	0.04989339019189765
0.9291338582677166	0.050319829424307044
0.9296875	0.05074626865671642
0.9302325581395349	0.0511727078891258
0.9307692307692308	0.05159914712153519
0.9312977099236641	0.05202558635394457
0.9318181818181818	0.052452025586353944
0.9323308270676691	0.052878464818763335
0.9328358208955224	0.05330490405117271
